Label (Grouping),"Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Estimate","Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Margin of Error","Indianapolis city (balance), Indiana!!With a Disability!!Estimate","Indianapolis city (balance), Indiana!!With a Disability!!Margin of Error","Indianapolis city (balance), Indiana!!No Disability!!Estimate","Indianapolis city (balance), Indiana!!No Disability!!Margin of Error"
Population Age 16 and Over,"658,452","±3,916","98,534","±4,998","559,918","±6,713"
EMPLOYMENT STATUS,,,,,,
    Employed,62.90%,±1.0,27.70%,±2.0,69.10%,±1.1
    Not in Labor Force,32.80%,±0.9,68.50%,±2.0,26.50%,±1.0
Employed Population Age 16 and Over,"414,409","±7,576","27,258","±2,427","387,151","±7,648"
CLASS OF WORKER,,,,,,
    Private for-profit wage and salary workers,75.60%,±1.2,71.50%,±4.3,75.80%,±1.2
    Employee of private company workers,73.00%,±1.2,69.80%,±4.5,73.20%,±1.2
    Self-employed in own incorporated business workers,2.50%,±0.4,1.70%,±1.3,2.60%,±0.4
    Private not-for-profit wage and salary workers,10.30%,±0.9,11.50%,±3.7,10.30%,±0.9
    Local government workers,4.00%,±0.5,5.30%,±2.8,3.90%,±0.5
    State government workers,3.40%,±0.5,3.10%,±1.8,3.40%,±0.5
    Federal government workers,2.00%,±0.4,1.90%,±1.2,2.00%,±0.5
    Self-employed in own not incorporated business workers,4.50%,±0.6,5.70%,±2.2,4.40%,±0.6
    Unpaid family workers,0.20%,±0.1,1.10%,±1.2,0.10%,±0.1
OCCUPATION,,,,,,
"    Management, business, science, and arts occupations",36.40%,±1.5,27.10%,±4.8,37.10%,±1.6
    Service occupations,17.90%,±1.3,17.80%,±4.1,17.90%,±1.3
    Sales and office occupations,23.10%,±1.3,29.80%,±4.1,22.70%,±1.4
"    Natural resources, construction, and maintenance occupations",7.70%,±0.8,7.00%,±2.5,7.70%,±0.9
"    Production, transportation, and material moving occupations",14.90%,±1.2,18.30%,±4.0,14.60%,±1.2
INDUSTRY,,,,,,
"    Agriculture, forestry, fishing and hunting, and mining",0.20%,±0.1,0.00%,±0.6,0.20%,±0.1
    Construction,5.70%,±0.7,4.60%,±2.0,5.80%,±0.7
    Manufacturing,10.60%,±0.8,9.80%,±3.0,10.70%,±0.9
    Wholesale trade,2.30%,±0.4,3.40%,±1.6,2.20%,±0.4
    Retail trade,11.40%,±0.8,16.50%,±3.7,11.10%,±0.8
"    Transportation and warehousing, and utilities",8.30%,±0.8,9.90%,±3.4,8.10%,±0.8
    Information,1.60%,±0.3,1.90%,±1.3,1.60%,±0.3
"    Finance and insurance, and real estate and rental and leasing",5.80%,±0.6,3.30%,±1.7,6.00%,±0.7
"    Professional, scientific, and management, and administrative and waste management services",12.90%,±1.1,11.10%,±2.7,13.00%,±1.1
"    Educational services, and health care and social assistance",22.40%,±1.3,17.10%,±3.5,22.80%,±1.4
"    Arts, entertainment, and recreation, and accommodation and food services",10.10%,±0.8,11.20%,±3.4,10.00%,±0.9
    Other services (except public administration),4.70%,±0.7,6.00%,±2.7,4.60%,±0.7
    Public administration,4.10%,±0.6,5.20%,±2.9,4.00%,±0.6
COMMUTING TO WORK,,,,,,
    Workers Age 16 and Over,"409,821","±7,772","26,597","±2,474","383,224","±7,790"
"        Car, truck, or van - drove alone",81.60%,±1.3,73.50%,±4.7,82.10%,±1.4
"        Car, truck, or van - carpooled",8.90%,±0.9,12.10%,±3.7,8.70%,±0.9
        Public transportation (excluding taxicab),1.90%,±0.4,4.20%,±2.2,1.70%,±0.4
        Walked,2.00%,±0.4,2.90%,±1.5,2.00%,±0.4
"        Taxicab, motorcycle, bicycle, or other means",2.00%,±0.6,3.50%,±1.8,1.90%,±0.6
        Worked at home,3.60%,±0.5,3.90%,±1.9,3.60%,±0.5
EDUCATIONAL ATTAINMENT,,,,,,
    Population Age 25 and Over,"559,000","±3,259","92,909","±4,744","466,091","±5,900"
        Less than high school graduate,15.20%,±0.9,23.50%,±2.3,13.50%,±1.1
        High school graduate (includes equivalency),27.50%,±1.1,34.10%,±2.7,26.20%,±1.2
        Some college or associate's degree,25.00%,±1.0,25.70%,±2.5,24.90%,±1.1
        Bachelor's degree or higher,32.30%,±1.1,16.70%,±2.1,35.40%,±1.3
EARNINGS IN PAST 12 MONTHS (IN 2017 INFLATION ADJUSTED DOLLARS),,,,,,
    Population Age 16 and over with earnings,"452,121","±6,967","33,620","±2,857","418,501","±7,399"
"        $1 to $4,999 or loss",9.40%,±0.8,20.30%,±4.0,8.50%,±0.8
"        $5,000 to $14,999",13.10%,±1.0,17.00%,±3.0,12.80%,±1.0
"        $15,000 to $24,999",17.00%,±1.1,16.90%,±4.1,17.00%,±1.2
"        $25,000 to $34,999",15.50%,±0.9,13.90%,±3.3,15.60%,±0.9
"        $35,000 to $49,999",16.60%,±0.9,14.20%,±3.6,16.80%,±1.0
"        $50,000 to $74,999",15.40%,±1.0,9.30%,±2.5,15.90%,±1.0
"        $75,000 or more",13.00%,±0.9,8.40%,±2.5,13.30%,±0.9
Median Earnings,"31,363",±615,"22,076","±2,570","31,835",±635
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,
    Population Age 16 and over for whom poverty status is determined,"653,910","±4,020","98,280","±5,020","555,630","±6,850"
        Below 100 percent of the poverty level,15.20%,±1.1,24.20%,±2.6,13.60%,±1.2
        100 to 149 percent of the poverty level,10.60%,±1.0,13.20%,±2.2,10.10%,±1.1
        At or above 150 percent of the poverty level,74.30%,±1.3,62.60%,±3.1,76.30%,±1.4
