Label (Grouping),"Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Estimate","Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Margin of Error","Indianapolis city (balance), Indiana!!With a Disability!!Estimate","Indianapolis city (balance), Indiana!!With a Disability!!Margin of Error","Indianapolis city (balance), Indiana!!No Disability!!Estimate","Indianapolis city (balance), Indiana!!No Disability!!Margin of Error"
Population Age 16 and Over,"678,994","±4,747","110,765","±5,913","568,229","±7,582"
    EMPLOYMENT STATUS,,,,,,
        Employed,64.40%,±1.2,30.10%,±2.7,71.10%,±1.3
        Not in Labor Force,31.40%,±1.0,64.50%,±2.9,25.00%,±1.1
Employed Population Age 16 and Over,"437,469","±9,292","33,348","±3,800","404,121","±9,207"
    CLASS OF WORKER,,,,,,
        Private for-profit wage and salary workers,72.40%,±1.4,72.70%,±4.1,72.40%,±1.5
        Employee of private company workers,69.20%,±1.4,66.90%,±4.9,69.40%,±1.5
        Self-employed in own incorporated business workers,3.20%,±0.6,5.80%,±3.1,3.00%,±0.5
        Private not-for-profit wage and salary workers,11.10%,±1.1,9.80%,±3.4,11.20%,±1.1
        Local government workers,5.70%,±0.7,6.10%,±2.4,5.70%,±0.7
        State government workers,3.50%,±0.5,3.70%,±2.3,3.50%,±0.6
        Federal government workers,3.00%,±0.7,3.20%,±2.0,3.00%,±0.7
        Self-employed in own not incorporated business workers,3.90%,±0.6,4.10%,±1.4,3.90%,±0.6
        Unpaid family workers,0.40%,±0.2,0.40%,±0.5,0.40%,±0.3
    OCCUPATION,,,,,,
"        Management, business, science, and arts occupations",39.60%,±1.7,32.20%,±4.9,40.20%,±1.8
        Service occupations,14.70%,±1.1,19.40%,±3.6,14.30%,±1.1
        Sales and office occupations,21.60%,±1.5,23.50%,±5.2,21.40%,±1.4
"        Natural resources, construction, and maintenance occupations",7.10%,±0.8,6.90%,±3.2,7.20%,±0.8
"        Production, transportation, and material moving occupations",17.10%,±1.3,18.00%,±4.0,17.00%,±1.3
    INDUSTRY,,,,,,
"        Agriculture, forestry, fishing and hunting, and mining",0.50%,±0.3,0.50%,±0.6,0.50%,±0.3
        Construction,5.50%,±0.7,5.40%,±2.2,5.50%,±0.8
        Manufacturing,10.90%,±1.1,13.10%,±4.6,10.70%,±1.1
        Wholesale trade,2.70%,±0.4,0.80%,±0.8,2.90%,±0.5
        Retail trade,12.40%,±1.1,15.20%,±4.1,12.20%,±1.1
"        Transportation and warehousing, and utilities",9.20%,±1.0,5.80%,±2.7,9.50%,±1.1
        Information,1.10%,±0.3,1.00%,±0.8,1.10%,±0.3
"        Finance and insurance, and real estate and rental and leasing",7.10%,±0.9,4.20%,±2.0,7.30%,±1.0
"        Professional, scientific, and management, and administrative and waste management services",12.50%,±1.0,13.00%,±3.8,12.40%,±1.0
"        Educational services, and health care and social assistance",21.50%,±1.5,22.10%,±5.7,21.50%,±1.5
"        Arts, entertainment, and recreation, and accommodation and food services",8.10%,±0.7,11.50%,±3.8,7.80%,±0.8
        Other services (except public administration),3.80%,±0.6,1.90%,±1.0,4.00%,±0.6
        Public administration,4.60%,±0.6,5.40%,±2.2,4.60%,±0.7
COMMUTING TO WORK,,,,,,
    Workers Age 16 and Over,"429,288","±9,474","32,299","±3,699","396,989","±9,595"
"        Car, truck, or van - drove alone",70.00%,±1.7,67.70%,±5.6,70.20%,±1.7
"        Car, truck, or van - carpooled",9.40%,±1.1,8.90%,±3.4,9.40%,±1.1
        Public transportation (excluding taxicab),1.50%,±0.5,5.50%,±3.0,1.10%,±0.4
        Walked,1.60%,±0.3,2.60%,±1.8,1.50%,±0.3
"        Taxicab, motorcycle, bicycle, or other means",1.00%,±0.3,1.10%,±0.8,1.00%,±0.3
        Worked from home,16.50%,±1.2,14.10%,±4.0,16.70%,±1.2
EDUCATIONAL ATTAINMENT,,,,,,
    Population Age 25 and Over,"575,149","±4,064","101,308","±5,282","473,841","±6,967"
        Less than high school graduate,11.60%,±1.0,19.50%,±3.0,9.90%,±1.0
        High school graduate (includes equivalency),27.10%,±1.3,35.40%,±2.8,25.40%,±1.4
        Some college or associate's degree,26.20%,±1.3,28.10%,±2.9,25.80%,±1.5
        Bachelor's degree or higher,35.00%,±1.3,17.00%,±1.9,38.90%,±1.5
EARNINGS IN PAST 12 MONTHS (IN 2021 INFLATION ADJUSTED DOLLARS),,,,,,
    Population Age 16 and over with earnings,"481,080","±8,822","41,790","±4,639","439,290","±9,699"
"        $1 to $4,999 or loss",9.10%,±0.9,14.50%,±3.2,8.60%,±0.8
"        $5,000 to $14,999",11.70%,±1.0,17.70%,±4.0,11.10%,±0.9
"        $15,000 to $24,999",10.70%,±1.0,14.90%,±3.5,10.30%,±1.0
"        $25,000 to $34,999",15.00%,±1.3,14.60%,±3.5,15.00%,±1.3
"        $35,000 to $49,999",18.30%,±1.0,15.70%,±2.9,18.60%,±1.1
"        $50,000 to $74,999",18.40%,±1.1,11.40%,±3.0,19.10%,±1.2
"        $75,000 or more",16.80%,±0.9,11.30%,±3.4,17.40%,±0.9
        Median Earnings,"37,365",±894,"26,527","±3,160","38,506","±1,120"
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,
    Population Age 16 and over for whom poverty status is determined,"675,090","±4,799","110,685","±5,910","564,405","±7,660"
        Below 100 percent of the poverty level,13.60%,±1.1,22.00%,±2.4,12.00%,±1.2
        100 to 149 percent of the poverty level,8.30%,±0.8,14.60%,±2.4,7.10%,±0.8
        At or above 150 percent of the poverty level,78.10%,±1.3,63.40%,±3.2,80.90%,±1.3
