Label (Grouping),"Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Estimate","Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Margin of Error","Indianapolis city (balance), Indiana!!With a Disability!!Estimate","Indianapolis city (balance), Indiana!!With a Disability!!Margin of Error","Indianapolis city (balance), Indiana!!No Disability!!Estimate","Indianapolis city (balance), Indiana!!No Disability!!Margin of Error"
Population Age 16 and Over,"670,433","±5,858","106,518","±5,755","563,915","±8,010"
    EMPLOYMENT STATUS,,,,,,
        Employed,63.10%,±1.2,24.70%,±2.3,70.40%,±1.4
        Not in Labor Force,33.10%,±1.2,72.60%,±2.5,25.70%,±1.4
Employed Population Age 16 and Over,"423,370","±8,613","26,305","±2,798","397,065","±9,327"
    CLASS OF WORKER,,,,,,
        Private for-profit wage and salary workers,76.10%,±1.3,69.10%,±5.1,76.50%,±1.3
        Employee of private company workers,73.80%,±1.3,65.40%,±5.4,74.40%,±1.4
        Self-employed in own incorporated business workers,2.30%,±0.4,3.70%,±2.3,2.20%,±0.4
        Private not-for-profit wage and salary workers,9.60%,±0.8,17.20%,±4.1,9.10%,±0.8
        Local government workers,4.10%,±0.5,2.80%,±1.5,4.20%,±0.5
        State government workers,3.50%,±0.6,3.30%,±1.6,3.50%,±0.6
        Federal government workers,1.60%,±0.3,3.10%,±1.8,1.50%,±0.3
        Self-employed in own not incorporated business workers,4.80%,±0.7,4.50%,±2.0,4.80%,±0.7
        Unpaid family workers,0.30%,±0.2,0.00%,±0.6,0.30%,±0.2
    OCCUPATION,,,,,,
"        Management, business, science, and arts occupations",36.90%,±1.5,24.80%,±5.1,37.70%,±1.6
        Service occupations,17.00%,±1.2,24.20%,±6.6,16.50%,±1.2
        Sales and office occupations,20.70%,±1.3,27.30%,±5.1,20.30%,±1.3
"        Natural resources, construction, and maintenance occupations",7.50%,±0.8,6.90%,±3.3,7.60%,±0.8
"        Production, transportation, and material moving occupations",17.80%,±1.3,16.80%,±4.1,17.90%,±1.5
    INDUSTRY,,,,,,
"        Agriculture, forestry, fishing and hunting, and mining",0.10%,±0.1,0.90%,±0.8,0.10%,±0.1
        Construction,5.80%,±0.7,4.50%,±2.9,5.90%,±0.7
        Manufacturing,11.10%,±0.9,9.50%,±2.9,11.30%,±1.0
        Wholesale trade,2.60%,±0.5,2.60%,±1.4,2.60%,±0.5
        Retail trade,11.40%,±1.2,13.70%,±3.4,11.30%,±1.3
"        Transportation and warehousing, and utilities",8.80%,±1.1,7.80%,±3.7,8.90%,±1.2
        Information,1.60%,±0.4,1.60%,±1.5,1.60%,±0.4
"        Finance and insurance, and real estate and rental and leasing",5.80%,±0.8,4.80%,±2.6,5.90%,±0.8
"        Professional, scientific, and management, and administrative and waste management services",12.70%,±0.9,10.70%,±3.3,12.90%,±0.9
"        Educational services, and health care and social assistance",21.50%,±1.3,24.20%,±4.4,21.30%,±1.4
"        Arts, entertainment, and recreation, and accommodation and food services",10.20%,±1.1,11.00%,±4.6,10.10%,±1.1
        Other services (except public administration),4.80%,±0.5,5.50%,±2.3,4.70%,±0.5
        Public administration,3.50%,±0.5,3.30%,±1.8,3.50%,±0.5
COMMUTING TO WORK,,,,,,
    Workers Age 16 and Over,"417,866","±8,561","25,429","±2,757","392,437","±9,140"
"        Car, truck, or van - drove alone",80.90%,±1.4,71.40%,±6.3,81.50%,±1.4
"        Car, truck, or van - carpooled",10.50%,±1.0,15.80%,±5.4,10.20%,±1.0
