Label (Grouping),"Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Estimate","Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Margin of Error","Indianapolis city (balance), Indiana!!With a Disability!!Estimate","Indianapolis city (balance), Indiana!!With a Disability!!Margin of Error","Indianapolis city (balance), Indiana!!No Disability!!Estimate","Indianapolis city (balance), Indiana!!No Disability!!Margin of Error"
Population Age 16 and Over,"668,280","±1,350","106,701","±3,004","561,579","±3,027"
    EMPLOYMENT STATUS,,,,,,
        Employed,63.60%,±0.6,28.60%,±1.5,70.30%,±0.6
        Not in Labor Force,32.50%,±0.5,67.80%,±1.6,25.80%,±0.6
Employed Population Age 16 and Over,"425,293","±3,684","30,524","±1,864","394,769","±3,896"
    CLASS OF WORKER,,,,,,
        Private for-profit wage and salary workers,75.50%,±0.7,72.20%,±3.1,75.80%,±0.6
        Employee of private company workers,72.90%,±0.7,69.50%,±2.9,73.10%,±0.7
        Self-employed in own incorporated business workers,2.60%,±0.2,2.70%,±0.7,2.60%,±0.3
        Private not-for-profit wage and salary workers,10.10%,±0.5,11.40%,±1.7,10.00%,±0.5
        Local government workers,4.20%,±0.3,3.60%,±1.0,4.20%,±0.3
        State government workers,3.60%,±0.3,4.90%,±2.0,3.50%,±0.3
        Federal government workers,2.00%,±0.2,2.80%,±1.2,1.90%,±0.2
        Self-employed in own not incorporated business workers,4.50%,±0.3,4.90%,±1.4,4.50%,±0.3
        Unpaid family workers,0.10%,±0.1,0.20%,±0.2,0.10%,±0.1
    OCCUPATION,,,,,,
"        Management, business, science, and arts occupations",37.20%,±0.7,26.70%,±2.8,38.00%,±0.7
        Service occupations,16.50%,±0.6,19.70%,±2.4,16.30%,±0.6
        Sales and office occupations,21.60%,±0.6,25.80%,±2.5,21.30%,±0.6
"        Natural resources, construction, and maintenance occupations",6.90%,±0.3,7.00%,±1.3,6.90%,±0.3
"        Production, transportation, and material moving occupations",17.80%,±0.6,20.90%,±2.3,17.50%,±0.6
    INDUSTRY,,,,,,
"        Agriculture, forestry, fishing and hunting, and mining",0.20%,±0.1,0.20%,±0.2,0.20%,±0.1
        Construction,5.60%,±0.3,5.10%,±1.1,5.60%,±0.3
        Manufacturing,10.90%,±0.5,9.90%,±1.6,11.00%,±0.5
        Wholesale trade,2.80%,±0.2,2.80%,±0.7,2.80%,±0.2
        Retail trade,11.70%,±0.5,15.20%,±2.3,11.40%,±0.5
"        Transportation and warehousing, and utilities",8.10%,±0.5,8.80%,±1.7,8.10%,±0.5
        Information,1.40%,±0.2,1.80%,±0.5,1.40%,±0.2
"        Finance and insurance, and real estate and rental and leasing",6.50%,±0.3,4.50%,±1.0,6.70%,±0.3
"        Professional, scientific, and management, and administrative and waste management services",12.20%,±0.5,9.20%,±1.3,12.50%,±0.5
"        Educational services, and health care and social assistance",22.50%,±0.6,22.60%,±2.9,22.50%,±0.6
"        Arts, entertainment, and recreation, and accommodation and food services",9.90%,±0.4,11.80%,±2.0,9.70%,±0.4
        Other services (except public administration),4.40%,±0.3,4.80%,±1.0,4.30%,±0.3
        Public administration,3.80%,±0.3,3.40%,±0.9,3.80%,±0.3
COMMUTING TO WORK,,,,,,
    Workers Age 16 and Over,"417,539","±3,657","29,057","±1,700","388,482","±3,808"
"        Car, truck, or van - drove alone",79.80%,±0.7,74.70%,±3.0,80.20%,±0.7
"        Car, truck, or van - carpooled",9.20%,±0.5,11.80%,±1.9,9.00%,±0.5
        Public transportation (excluding taxicab),1.60%,±0.2,3.90%,±1.1,1.50%,±0.2
        Walked,2.00%,±0.2,2.40%,±0.7,2.00%,±0.3
"        Taxicab, motorcycle, bicycle, or other means",1.30%,±0.2,1.70%,±0.6,1.30%,±0.2
        Worked from home,6.00%,±0.5,5.50%,±1.6,6.00%,±0.5
EDUCATIONAL ATTAINMENT,,,,,,
    Population Age 25 and Over,"564,629","±1,292","98,957","±2,629","465,672","±2,692"
        Less than high school graduate,13.40%,±0.4,22.40%,±1.2,11.50%,±0.4
        High school graduate (includes equivalency),27.20%,±0.6,34.30%,±1.3,25.70%,±0.6
        Some college or associate's degree,27.00%,±0.6,27.00%,±1.3,27.00%,±0.6
        Bachelor's degree or higher,32.40%,±0.5,16.40%,±1.2,35.80%,±0.6
EARNINGS IN PAST 12 MONTHS (IN 2020 INFLATION ADJUSTED DOLLARS),,,,,,
    Population Age 16 and over with earnings,"465,936","±3,475","37,009","±2,113","428,927","±3,841"
"        $1 to $4,999 or loss",9.10%,±0.4,15.70%,±2.1,8.50%,±0.4
"        $5,000 to $14,999",12.70%,±0.4,20.00%,±2.5,12.10%,±0.4
"        $15,000 to $24,999",14.40%,±0.5,14.90%,±1.9,14.30%,±0.6
"        $25,000 to $34,999",15.90%,±0.5,15.30%,±1.9,16.00%,±0.6
"        $35,000 to $49,999",17.70%,±0.5,14.20%,±1.5,18.00%,±0.6
"        $50,000 to $74,999",16.20%,±0.5,10.70%,±1.7,16.60%,±0.5
"        $75,000 or more",14.10%,±0.6,9.10%,±2.3,14.50%,±0.5
        Median Earnings,"33,351",±613,"24,539","±1,769","34,286",±627
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,
    Population Age 16 and over for whom poverty status is determined,"663,712","±1,542","106,473","±3,006","557,239","±3,027"
        Below 100 percent of the poverty level,14.60%,±0.5,22.90%,±1.4,13.00%,±0.5
        100 to 149 percent of the poverty level,9.70%,±0.5,13.00%,±1.1,9.10%,±0.5
        At or above 150 percent of the poverty level,75.70%,±0.7,64.20%,±1.4,77.90%,±0.7
