Label (Grouping),"Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Estimate","Indianapolis city (balance), Indiana!!Total Civilian Noninstitutionalized Population!!Margin of Error","Indianapolis city (balance), Indiana!!With a Disability!!Estimate","Indianapolis city (balance), Indiana!!With a Disability!!Margin of Error","Indianapolis city (balance), Indiana!!No Disability!!Estimate","Indianapolis city (balance), Indiana!!No Disability!!Margin of Error"
Population Age 16 and Over,"672,593","±5,121","103,574","±4,821","569,019","±7,036"
    EMPLOYMENT STATUS,,,,,,
        Employed,67.60%,±1.1,33.40%,±3.1,73.80%,±1.2
        Not in Labor Force,29.30%,±1.0,62.80%,±3.0,23.20%,±1.1
Employed Population Age 16 and Over,"454,791","±8,318","34,632","±3,686","420,159","±8,402"
    CLASS OF WORKER,,,,,,
        Private for-profit wage and salary workers,72.00%,±1.4,73.50%,±4.4,71.90%,±1.4
        Employee of private company workers,69.30%,±1.4,72.10%,±4.4,69.00%,±1.4
        Self-employed in own incorporated business workers,2.70%,±0.5,1.40%,±1.2,2.80%,±0.5
        Private not-for-profit wage and salary workers,12.20%,±1.1,13.10%,±3.9,12.10%,±1.2
        Local government workers,5.70%,±0.7,3.20%,±1.6,5.90%,±0.8
        State government workers,3.40%,±0.4,4.30%,±1.7,3.40%,±0.4
        Federal government workers,2.90%,±0.5,2.40%,±1.3,3.00%,±0.5
        Self-employed in own not incorporated business workers,3.60%,±0.6,3.20%,±1.3,3.70%,±0.6
        Unpaid family workers,0.10%,±0.1,0.40%,±0.6,0.10%,±0.1
    OCCUPATION,,,,,,
"        Management, business, science, and arts occupations",43.70%,±1.4,33.00%,±5.0,44.50%,±1.5
        Service occupations,14.20%,±1.1,17.00%,±3.6,14.00%,±1.2
        Sales and office occupations,18.70%,±1.1,22.30%,±4.6,18.40%,±1.1
"        Natural resources, construction, and maintenance occupations",6.90%,±0.8,8.50%,±3.3,6.70%,±0.8
"        Production, transportation, and material moving occupations",16.60%,±1.1,19.20%,±4.2,16.40%,±1.2
    INDUSTRY,,,,,,
"        Agriculture, forestry, fishing and hunting, and mining",0.30%,±0.2,0.60%,±0.7,0.30%,±0.2
        Construction,6.60%,±0.7,5.10%,±2.4,6.70%,±0.8
        Manufacturing,11.80%,±1.1,11.20%,±4.0,11.90%,±1.1
        Wholesale trade,2.20%,±0.4,4.60%,±1.9,2.00%,±0.4
        Retail trade,10.70%,±0.9,11.20%,±4.2,10.60%,±0.9
